number,date,counterparty,amount,term_days,status,paid
СБ-00001,2026-01-29,ООО ТоргСервис,190547.54,45,paid,190547.54
СБ-00002,2026-01-27,ООО СеверТорг,3071011.73,60,paid,3071011.73
СБ-00003,2026-01-08,ООО Ромашка,494132.96,30,paid,494132.96
СБ-00004,2026-02-20,ООО ДорСервис,3244806.69,90,paid,3244806.69
СБ-00005,2026-05-31,ООО ПродТорг,1309602.93,30,overdue,0.00
СБ-00006,2026-02-09,ИП Смирнов А.А.,1031686.83,45,paid,1031686.83
СБ-00007,2026-04-02,АО СтройИнвест,3825925.10,60,overdue,1147777.53
СБ-00008,2026-02-01,ООО ДорСервис,4381171.68,45,paid,4381171.68
СБ-00009,2026-06-08,ООО ТоргСервис,3993696.73,45,overdue,0.00
СБ-00010,2026-06-19,ООО Ромашка,1087310.38,45,pending,0.00
СБ-00011,2026-04-08,АО СтройИнвест,1308643.33,90,paid,1308643.33
СБ-00012,2026-02-23,АО НПО Энергия,3042174.27,90,paid,3042174.27
СБ-00013,2026-06-12,ООО Гарант-Строй,836432.83,90,pending,418216.41
СБ-00014,2026-06-13,ИП Смирнов А.А.,3121675.86,30,overdue,0.00
СБ-00015,2026-01-09,ООО Альфа-Трейд,3638302.44,45,paid,3638302.44
СБ-00016,2026-07-03,ООО Гарант-Строй,1470876.23,90,pending,735438.11
СБ-00017,2026-03-09,ООО Вектор,697166.01,90,paid,697166.01
СБ-00018,2026-05-30,ООО СеверТорг,1973677.52,60,overdue,0.00
СБ-00019,2026-05-07,ООО ДорСервис,481819.60,30,paid,481819.60
СБ-00020,2026-06-24,ООО Вектор,1945947.05,30,overdue,972973.53
СБ-00021,2026-03-06,ООО ДорСервис,4372166.43,30,overdue,2186083.21
СБ-00022,2026-07-16,ИП Смирнов А.А.,2913051.15,30,pending,0.00
СБ-00023,2026-01-01,ООО ПродТорг,4295866.40,90,overdue,0.00
СБ-00024,2026-01-28,ООО ДорСервис,3927692.08,45,paid,3927692.08
СБ-00025,2026-02-09,ООО Альфа-Трейд,1732699.23,30,overdue,866349.61
СБ-00026,2026-06-03,ООО Ромашка,1512769.77,30,overdue,0.00
