number,date,counterparty,amount,term_days,status,paid
ВХ-00001,2026-01-15,ООО ЛогистикГрупп,816336.80,60,overdue,0.00
ВХ-00002,2026-07-07,ООО Вектор,1586010.05,15,overdue,0.00
ВХ-00003,2026-02-02,ООО МеталлоПром,2131617.58,60,paid,2131617.58
ВХ-00004,2026-02-24,ООО СветТех,2976788.37,30,paid,2976788.37
ВХ-00005,2026-06-21,ООО СветТех,2100617.10,45,pending,0.00
ВХ-00006,2026-01-31,ООО КомплектПоставка,838423.63,15,paid,838423.63
ВХ-00007,2026-05-31,ООО ЛогистикГрупп,751482.59,15,paid,751482.59
ВХ-00008,2026-02-28,ООО ТехноСнаб,271637.03,15,overdue,0.00
ВХ-00009,2026-05-12,ООО Вектор,807334.55,45,paid,807334.55
ВХ-00010,2026-07-05,ООО МеталлоПром,2997514.72,60,pending,0.00
ВХ-00011,2026-03-04,ООО КомплектПоставка,2523704.99,45,paid,2523704.99
ВХ-00012,2026-06-18,ООО Вектор,1413500.71,45,pending,0.00
ВХ-00013,2026-04-30,ООО СветТех,2772447.39,15,paid,2772447.39
ВХ-00014,2026-01-16,ООО Вектор,1324230.83,30,paid,1324230.83
ВХ-00015,2026-03-05,ООО Вектор,661592.83,60,paid,661592.83
ВХ-00016,2026-02-16,ООО СветТех,934631.75,30,overdue,0.00
